,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,16,32,48,64,80,96,112,128,144,160,176,192,208,224,240,256,272
1,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273
2,2,18,34,50,66,82,98,114,130,146,162,178,194,210,226,242,258,274
3,3,19,35,51,67,83,99,115,131,147,163,179,195,211,227,243,259,275
4,4,20,36,52,68,84,100,116,132,148,164,180,196,212,228,244,260,276
5,5,21,37,53,69,85,101,117,133,149,165,181,197,213,229,245,261,277
6,6,22,38,54,70,86,102,118,134,150,166,182,198,214,230,246,262,278
7,7,23,39,55,71,87,103,119,135,151,167,183,199,215,231,247,263,279
8,8,24,40,56,72,88,104,120,136,152,168,184,200,216,232,248,264,280
9,9,25,41,57,73,89,105,121,137,153,169,185,201,217,233,249,265,281
10,10,26,42,58,74,90,106,122,138,154,170,186,202,218,234,250,266,282
11,11,27,43,59,75,91,107,123,139,155,171,187,203,219,235,251,267,283
12,12,28,44,60,76,92,108,124,140,156,172,188,204,220,236,252,268,284
13,13,29,45,61,77,93,109,125,141,157,173,189,205,221,237,253,269,285
14,14,30,46,62,78,94,110,126,142,158,174,190,206,222,238,254,270,286
15,15,31,47,63,79,95,111,127,143,159,175,191,207,223,239,255,271,287
